ID	sample	fq1
2275X1	Input_WAGO-1_A	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-1_A_2275F1.fastq.gz
2275X2	Input_WAGO-1_B	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-1_B_2275F2.fastq.gz
2275X3	Input_WAGO-1_C	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-1_C_2275F3.fastq.gz
2275X4	Input_WAGO-1_dpf-3_null_A	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-1_dpf-3_null_A_2275F4.fastq.gz
2275X5	Input_WAGO-1_dpf-3_null_B	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-1_dpf-3_null_B_2275F5.fastq.gz
2275X6	Input_WAGO-1_dpf-3_null_C	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-1_dpf-3_null_C_2275F6.fastq.gz
2275X7	Input_WAGO-1_P3G_A	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-1_P3G_A_2275F7.fastq.gz
2275X8	Input_WAGO-1_P3G_B	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-1_P3G_B_2275F8.fastq.gz
2275X9	Input_WAGO-1_P3G_C	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-1_P3G_C_2275F9.fastq.gz
2275X10	Input_WAGO-3_A	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-3_A_2275F10.fastq.gz
2275X11	Input_WAGO-3_B	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-3_B_2275F11.fastq.gz
2275X12	Input_WAGO-3_C	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-3_C_2275F12.fastq.gz
2275X13	Input_WAGO-3_dpf-3_null_A	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-3_dpf-3_null_A_2275F13.fastq.gz
2275X14	Input_WAGO-3_dpf-3_null_B	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-3_dpf-3_null_B_2275F14.fastq.gz
2275X15	Input_WAGO-3_dpf-3_null_C	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-3_dpf-3_null_C_2275F15.fastq.gz
2275X16	Input_WAGO-4_A	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-4_A_2275F16.fastq.gz
2275X17	Input_WAGO-4_B	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-4_B_2275F17.fastq.gz
2275X18	Input_WAGO-4_C	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-4_C_2275F18.fastq.gz
2275X19	Input_WAGO-4_dpf-3_null_A	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-4_dpf-3_null_A_2275F19.fastq.gz
2275X20	Input_WAGO-4_dpf-3_null_B	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-4_dpf-3_null_B_2275F20.fastq.gz
2275X21	Input_WAGO-4_dpf-3_null_C	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/Input_WAGO-4_dpf-3_null_C_2275F21.fastq.gz
2275X22	IP_WAGO-1_A	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-1_A_2275F22.fastq.gz
2275X23	IP_WAGO-1_B	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-1_B_2275F23.fastq.gz
2275X24	IP_WAGO-1_C	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-1_C_2275F24.fastq.gz
