ID	sample	Sample_Name	fq1
2078X1	wild_type_A	N2.A	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F1-1_190712_D00404_0436_ACDRMNANXX_ATCACG-NoIndex_L002_R1_001.fastq.gz
2078X2	wild_type_B	N2.B	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F2-1_190712_D00404_0436_ACDRMNANXX_CGATGT-NoIndex_L002_R1_001.fastq.gz
2078X3	wild_type_C	N2.C	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F3-1_190712_D00404_0436_ACDRMNANXX_TTAGGC-NoIndex_L002_R1_001.fastq.gz
2078X4	wild_type_D	N2.D	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F4-1_190712_D00404_0436_ACDRMNANXX_TGACCA-NoIndex_L002_R1_001.fastq.gz
2078X5	wild_type_E	N2.E	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F5-1_190712_D00404_0436_ACDRMNANXX_ACAGTG-NoIndex_L002_R1_001.fastq.gz
2078X6	wild_type_F	N2.F	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F6-1_190712_D00404_0436_ACDRMNANXX_GCCAAT-NoIndex_L002_R1_001.fastq.gz
2078X7	Dpf_3_null_A	HW1867.A	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F7-1_190712_D00404_0436_ACDRMNANXX_CAGATC-NoIndex_L002_R1_001.fastq.gz
2078X8	Dpf_3_null_B	HW1867.B	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F8-1_190712_D00404_0436_ACDRMNANXX_ACTTGA-NoIndex_L002_R1_001.fastq.gz
2078X9	Dpf_3_null_C	HW1867.C	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F9-1_190712_D00404_0436_ACDRMNANXX_GATCAG-NoIndex_L002_R1_001.fastq.gz
2078X10	Dpf_3_S784A_A	HW1898.A	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F10-1_190712_D00404_0436_ACDRMNANXX_TAGCTT-NoIndex_L002_R1_001.fastq.gz
2078X11	Dpf_3_S784A_B	HW1898.B	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F11-1_190712_D00404_0436_ACDRMNANXX_GGCTAC-NoIndex_L002_R1_001.fastq.gz
2078X12	Dpf_3_S784A_C	HW1898.C	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F12-1_190712_D00404_0436_ACDRMNANXX_CTTGTA-NoIndex_L002_R1_001.fastq.gz
2078X13	wild_type_G	N2.G	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F13-1_190712_D00404_0436_ACDRMNANXX_AGTCAA-NoIndex_L002_R1_001.fastq.gz
2078X14	wild_type_H	N2.H	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F14-1_190712_D00404_0436_ACDRMNANXX_AGTTCC-NoIndex_L002_R1_001.fastq.gz
2078X15	wild_type_I	N2.I	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F15-1_190712_D00404_0436_ACDRMNANXX_ATGTCA-NoIndex_L002_R1_001.fastq.gz
2078X16	alg_4_alg_3_A	HW2189.A	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F16-1_190712_D00404_0436_ACDRMNANXX_CCGTCC-NoIndex_L002_R1_001.fastq.gz
2078X17	alg_4_alg_3_B	HW2189.B	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F17-1_190712_D00404_0436_ACDRMNANXX_GTAGAG-NoIndex_L002_R1_001.fastq.gz
2078X18	alg_4_alg_3_C	HW2189.C	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F18-1_190712_D00404_0436_ACDRMNANXX_GTCCGC-NoIndex_L002_R1_001.fastq.gz
2078X19	mut_2_A	HW2244.A	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F19-1_190712_D00404_0436_ACDRMNANXX_GTGAAA-NoIndex_L002_R1_001.fastq.gz
2078X20	mut_2_B	HW2244.B	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F20-1_190712_D00404_0436_ACDRMNANXX_GTGGCC-NoIndex_L002_R1_001.fastq.gz
2078X21	mut_2_C	HW2244.C	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F21-1_190712_D00404_0436_ACDRMNANXX_GTTTCG-NoIndex_L002_R1_001.fastq.gz
2078X22	mut_7_A	HW2245.A	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F22-1_190712_D00404_0436_ACDRMNANXX_CGTACG-NoIndex_L002_R1_001.fastq.gz
2078X23	mut_7_B	HW2245.B	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F23-1_190712_D00404_0436_ACDRMNANXX_GAGTGG-NoIndex_L002_R1_001.fastq.gz
2078X24	mut_7_C	HW2245.C	/tungstenfs/groups/gbioinfo/deepSeqRepos/raw_temp/srf_BSSE/2078F24-1_190712_D00404_0436_ACDRMNANXX_GGTAGC-NoIndex_L002_R1_001.fastq.gz
